CO(GT),PT08.S1(CO),C6H6(GT),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,hour,is_weekend,is_warm_season,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9
1.1,1144.0,3.2,98.0,1387.0,82.0,1339.0,730.0,10.2,59.6,0.7417,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2.0,1333.0,8.0,174.0,1136.0,112.0,1517.0,1102.0,10.8,57.4,0.7408,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2.2,1351.0,9.5,129.0,1079.0,101.0,1583.0,1028.0,10.5,60.6,0.7691,9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1.7,1233.0,6.3,112.0,1218.0,98.0,1446.0,860.0,10.8,58.4,0.7552,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1.5,1179.0,5.0,95.0,1328.0,92.0,1362.0,671.0,10.5,57.9,0.7352,11,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1.6,1236.0,5.2,104.0,1301.0,95.0,1401.0,664.0,9.5,66.8,0.7951,12,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1.9,1286.0,7.3,146.0,1162.0,112.0,1537.0,799.0,8.3,76.4,0.8393,13,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2.9,1371.0,11.5,207.0,983.0,128.0,1730.0,1037.0,8.0,81.1,0.8736,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2.2,1310.0,8.8,184.0,1082.0,126.0,1647.0,946.0,8.3,79.8,0.8778,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2.2,1292.0,8.3,193.0,1103.0,131.0,1591.0,957.0,9.7,71.2,0.8569,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2.9,1383.0,11.2,243.0,1008.0,135.0,1719.0,1104.0,9.8,67.6,0.8185,17,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
4.8,1581.0,20.8,281.0,799.0,151.0,2083.0,1409.0,10.3,64.2,0.8065,18,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6.9,1658.0,27.4,383.0,702.0,172.0,2324.625,1704.0,9.7,69.3,0.8319,19,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6.1,1640.0,24.0,351.0,743.0,165.0,2191.0,1654.0,9.6,67.8,0.8133,20,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3.9,1313.0,12.8,240.0,957.0,136.0,1707.0,1285.0,9.1,64.0,0.7419,21,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1.5,965.0,4.7,94.0,1325.0,85.0,1333.0,821.0,8.2,63.4,0.6905,22,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,913.0,2.6,47.0,1387.0,53.0,1252.0,552.0,8.2,60.8,0.6657,23,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1.7,1080.0,5.9,122.0,1254.0,97.0,1375.0,816.0,8.3,58.5,0.6438,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.9,1044.0,6.4,133.0,1247.0,110.0,1378.0,832.0,7.7,59.7,0.6308,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.4,988.0,4.1,82.0,1387.0,91.0,1304.0,692.0,7.1,61.8,0.6276,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.8,889.0,1.9,188.0,1387.0,110.0,1187.0,512.0,7.0,62.3,0.6261,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.6,847.0,1.0,30.0,1387.0,44.0,1155.0,394.0,6.3,65.0,0.6233,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.8,927.0,1.8,56.0,1387.0,71.0,1223.0,487.0,6.8,62.9,0.6234,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.4,1091.0,4.4,109.0,1387.0,104.0,1361.0,748.0,6.4,65.1,0.6316,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4.4,1587.0,17.9,307.0,897.0,141.0,1900.0,1400.0,7.3,63.1,0.6499,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.1,1350.0,14.0,187.0,912.0,122.0,1712.0,1237.0,13.2,41.7,0.632,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.7,1263.0,11.6,216.0,969.0,143.0,1598.0,1167.0,14.3,38.4,0.6243,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.1,1206.0,10.2,143.0,1035.0,113.0,1537.0,959.0,15.0,36.5,0.6195,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.5,1252.0,11.0,160.0,1008.0,116.0,1593.0,983.0,16.1,34.5,0.6262,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.7,1287.0,12.8,163.0,949.0,123.0,1660.0,1061.0,16.3,35.7,0.656,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.9,1353.0,14.2,190.0,922.0,126.0,1740.0,1139.0,15.8,37.0,0.661,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.8,1309.0,12.7,178.0,954.0,120.0,1657.0,1112.0,15.9,37.2,0.6657,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.4,1274.0,11.7,150.0,1006.0,119.0,1610.0,994.0,16.9,34.3,0.6549,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.9,1510.0,19.3,206.0,812.0,149.0,1910.0,1410.0,15.1,39.6,0.6766,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.7,1525.0,18.2,202.0,821.0,145.0,1847.0,1448.0,14.4,43.4,0.7084,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6.6,1658.0,27.799999999999997,340.0,624.0,170.0,2324.625,1887.0,12.9,50.5,0.7478,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4.4,1598.0,20.1,274.0,752.0,149.0,1941.0,1627.0,12.1,53.3,0.7536,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.5,1484.0,14.3,253.0,839.0,139.0,1723.0,1491.0,11.0,59.1,0.774,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5.4,1658.0,21.8,300.0,741.0,134.0,2062.0,1657.0,9.7,64.6,0.7771,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.7,1280.0,9.6,193.0,963.0,113.0,1544.0,1285.0,9.5,64.1,0.7597,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.9,1196.0,7.4,139.0,1071.0,97.0,1463.0,1144.0,9.1,63.9,0.7423,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.6,1184.0,5.4,83.0,1176.0,82.0,1365.0,1043.0,8.8,63.9,0.7256,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.7,1172.0,5.4,188.0,1179.0,110.0,1380.0,996.0,7.8,67.5,0.7173,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,978.0,2.6,62.0,1387.0,65.0,1274.0,819.0,8.3,63.6,0.6982,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.2,1100.0,2.9,53.0,1387.0,60.0,1268.0,835.0,7.2,67.5,0.6887,6,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.5,1112.0,5.1,139.0,1228.0,77.0,1409.0,940.0,6.3,71.9,0.6932,7,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.7,1336.0,11.8,256.0,935.0,96.0,1678.0,1192.0,6.5,71.6,0.6945,8,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.7,1408.0,15.1,295.0,830.0,119.0,1777.0,1411.0,9.6,59.7,0.7124,9,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.2,1447.0,12.9,250.0,869.0,126.0,1667.0,1465.0,12.4,51.2,0.7335,10,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4.1,1542.0,16.1,296.0,808.0,158.0,1780.0,1583.0,15.6,42.2,0.7451,11,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.6,1451.0,14.0,239.0,875.0,161.0,1679.0,1387.0,18.4,33.8,0.709,12,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.8,1328.0,12.3,153.0,987.0,124.0,1600.0,1101.0,19.4,31.3,0.695,13,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.0,1207.0,8.6,118.0,1088.0,102.0,1488.0,850.0,18.0,34.8,0.7127,14,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.0,1240.0,9.2,119.0,1049.0,116.0,1532.0,947.0,18.4,33.6,0.7042,15,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.5,1306.0,10.2,138.0,1004.0,124.0,1554.0,1078.0,17.6,35.1,0.7012,16,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.3,1326.0,10.6,148.0,976.0,125.0,1602.0,1084.0,16.7,37.8,0.7117,17,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.2,1473.0,15.5,227.0,831.0,148.0,1779.0,1395.0,16.1,41.0,0.7451,18,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4.2,1609.0,19.6,277.0,758.0,165.0,1922.0,1612.0,15.8,42.4,0.7569,19,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4.2,1611.0,19.2,279.0,754.0,161.0,1915.0,1697.0,15.7,44.1,0.7786,20,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4.2,1621.0,18.3,283.0,762.0,159.0,1860.0,1886.0,15.3,46.8,0.8091,21,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.1,1444.0,13.1,214.0,844.0,143.0,1748.0,1624.0,14.6,48.6,0.806,22,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.6,1418.0,10.9,172.0,892.0,130.0,1603.0,1536.0,14.7,49.3,0.8193,23,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.9,1534.0,11.0,190.0,889.0,129.0,1611.0,1535.0,13.9,53.6,0.8498,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.8,1484.0,11.9,174.0,880.0,119.0,1624.0,1530.0,14.6,51.5,0.8536,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.5,1367.0,8.6,128.0,953.0,104.0,1543.0,1337.0,12.5,58.9,0.8537,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.4,1344.0,9.7,188.0,921.0,110.0,1620.0,1278.0,11.6,63.4,0.8674,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.2,1062.0,3.7,53.0,1272.0,70.0,1377.0,929.0,11.5,63.1,0.8533,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,1076.0,2.5,44.0,1387.0,63.0,1333.0,872.0,11.6,62.2,0.8473,6,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9,1028.0,2.4,74.0,1384.0,67.0,1340.0,853.0,10.4,67.6,0.853,7,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.4,1155.0,4.2,101.0,1225.0,84.0,1414.0,959.0,11.6,62.7,0.853,8,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.6,1235.0,6.4,118.0,1055.0,83.0,1527.0,1093.0,12.4,60.0,0.8627,9,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.2,1332.0,8.6,144.0,952.0,98.0,1614.0,1225.0,14.5,53.1,0.8728,10,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.8,1445.0,10.9,176.0,878.0,114.0,1696.0,1355.0,16.9,46.1,0.8789,11,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.8,1416.0,10.7,161.0,907.0,119.0,1677.0,1262.0,19.3,38.3,0.8474,12,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.0,1281.0,7.5,113.0,1084.0,104.0,1525.0,980.0,21.2,31.4,0.7812,13,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.8,1207.0,7.5,103.0,1104.0,102.0,1490.0,872.0,21.4,30.2,0.7616,14,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.9,1258.0,8.2,112.0,1081.0,107.0,1511.0,900.0,21.9,29.0,0.7525,15,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.0,1458.0,11.9,170.0,974.0,129.0,1646.0,1099.0,22.2,28.4,0.7516,16,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.9,1438.0,12.0,180.0,943.0,128.0,1668.0,1206.0,21.3,30.8,0.7696,17,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.5,1478.0,12.2,160.0,929.0,121.0,1671.0,1262.0,19.7,36.7,0.8307,18,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4.6,1658.0,20.6,261.0,753.0,157.0,1993.0,1698.0,18.4,41.7,0.8732,19,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5.9,1658.0,23.1,325.0,681.0,173.0,2103.0,1905.0,17.6,46.1,0.921,20,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.4,1560.0,14.7,217.0,784.0,146.0,1818.0,1648.0,16.7,49.6,0.932,21,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.1,1324.0,9.0,146.0,924.0,121.0,1587.0,1423.0,16.3,51.0,0.9341,22,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.2,1349.0,8.8,152.0,933.0,119.0,1617.0,1349.0,14.7,55.9,0.9314,23,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.8,1239.0,7.4,104.0,985.0,99.0,1547.0,1250.0,14.8,54.7,0.9164,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.8,1239.0,6.9,106.0,1010.0,93.0,1543.0,1174.0,14.0,57.0,0.9094,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.8,1224.0,7.0,108.0,998.0,88.0,1566.0,1149.0,13.4,61.3,0.9361,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.1,1078.0,4.4,188.0,1128.0,110.0,1487.0,1021.0,12.6,63.5,0.923,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,1075.0,3.9,88.0,1156.0,74.0,1464.0,1010.0,11.9,67.4,0.9375,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.4,1157.0,6.4,138.0,1030.0,80.0,1584.0,1083.0,11.4,70.5,0.9475,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.2,1314.0,9.7,228.0,897.0,89.0,1710.0,1235.0,11.3,70.2,0.9401,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5.5,1658.0,25.9,360.0,652.0,114.0,2323.0,1680.0,12.4,63.9,0.917,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8.1,1658.0,27.799999999999997,478.0,537.0,149.0,2324.625,2079.0,14.8,54.3,0.9076,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5.8,1658.0,26.6,394.0,622.0,157.0,2262.0,1973.0,17.4,45.6,0.8993,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4.2,1564.0,20.1,319.0,710.0,155.0,2029.0,1798.0,19.8,38.5,0.8801,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.1,1430.0,14.1,201.0,831.0,134.0,1783.0,1522.0,22.0,34.1,0.8904,12,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.9,1417.0,14.9,171.0,830.0,119.0,1831.0,1404.0,23.3,32.2,0.9096,13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.9,1400.0,15.4,159.0,838.0,111.0,1829.0,1263.0,23.9,30.0,0.8757,14,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.5,1317.0,12.1,153.0,926.0,104.0,1707.0,1137.0,24.4,28.9,0.8736,15,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.3,1318.0,11.5,143.0,950.0,99.0,1675.0,1068.0,24.4,29.4,0.8848,16,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.8,1445.0,14.8,156.0,857.0,110.0,1824.0,1252.0,23.8,31.3,0.9137,17,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6.1,1658.0,27.799999999999997,314.0,631.0,162.0,2324.625,1843.0,22.5,35.4,0.9547,18,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8.0,1658.0,27.799999999999997,404.0,542.0,187.0,2324.625,2079.0,20.4,42.5,1.0086,19,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6.5,1658.0,27.799999999999997,320.0,565.0,165.0,2324.625,1992.0,18.3,52.6,1.0945,20,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4.2,1595.0,19.9,256.0,678.0,145.0,2058.0,1707.0,16.7,57.4,1.0786,21,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.2,1439.0,15.3,193.0,764.0,125.0,1856.0,1494.0,15.7,60.2,1.0654,22,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.4,1142.0,6.9,89.0,1008.0,101.0,1547.0,1164.0,15.3,61.4,1.058,23,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.1,1304.0,11.1,127.0,852.0,103.0,1731.0,1272.0,14.1,65.7,1.0494,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1.2,1074.0,5.4,79.0,1098.0,88.0,1483.0,1040.0,14.8,60.6,1.0148,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.8,968.0,2.8,43.0,1320.0,61.0,1386.0,867.0,14.8,59.2,0.9879,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.7,929.0,2.3,188.0,1376.0,110.0,1364.0,826.0,13.6,62.1,0.9636,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.6,937.0,2.0,38.0,1387.0,52.0,1348.0,793.0,12.8,63.2,0.9283,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.9,1017.0,3.5,82.0,1246.0,64.0,1418.0,870.0,11.2,68.5,0.9081,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1.3,1171.0,5.1,99.0,1162.0,70.0,1467.0,930.0,11.0,66.5,0.8705,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3.4,1541.0,16.2,263.0,770.0,97.0,1889.0,1407.0,11.7,63.7,0.8719,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3.7,1539.0,19.7,229.0,698.0,95.0,2055.0,1507.0,13.6,56.3,0.8743,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5.3,1658.0,25.1,396.0,628.0,150.0,2211.0,1843.0,17.8,42.9,0.8672,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
4.1,1571.0,20.0,314.0,730.0,162.0,1973.0,1729.0,21.4,33.3,0.8417,11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3.3,1452.0,18.3,217.0,776.0,154.0,1868.0,1583.0,24.4,27.4,0.8231,12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
4.0,1579.0,22.3,252.0,724.0,161.0,1998.0,1671.0,25.3,26.1,0.8264,13,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3.8,1466.0,20.4,263.0,773.0,161.0,1897.0,1491.0,25.8,23.2,0.7589,14,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2.8,1280.0,14.6,180.0,893.0,128.0,1675.0,1240.0,27.0,20.2,0.7094,15,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2.9,1407.0,16.6,184.0,905.0,129.0,1759.0,1313.0,28.2,18.6,0.7014,16,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2.9,1389.0,15.8,190.0,898.0,133.0,1739.0,1363.0,28.0,19.1,0.7098,17,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3.4,1447.0,17.8,184.0,859.0,139.0,1778.0,1296.0,23.9,25.7,0.7519,18,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3.9,1551.0,19.1,181.0,800.0,137.0,1875.0,1432.0,21.3,34.8,0.873,19,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3.2,1474.0,15.8,166.0,854.0,143.0,1776.0,1432.0,20.4,36.7,0.8704,20,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5.1,1658.0,24.9,317.0,700.0,177.0,2106.0,2034.0,19.0,41.3,0.9007,21,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2.6,1379.0,13.5,184.0,818.0,138.0,1710.0,1602.0,17.9,45.9,0.9342,22,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1.7,1201.0,9.1,130.0,935.0,117.0,1560.0,1362.0,16.7,48.9,0.9226,23,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1.7,1205.0,8.6,132.0,922.0,107.0,1547.0,1314.0,15.5,52.9,0.9271,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1.2,1072.0,5.4,95.0,1066.0,90.0,1442.0,1114.0,15.5,51.9,0.9059,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.9,998.0,4.1,70.0,1169.0,79.0,1383.0,992.0,14.1,55.6,0.891,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.7,933.0,2.6,188.0,1292.0,110.0,1332.0,884.0,13.1,57.9,0.8666,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.5,869.0,1.6,28.0,1387.0,40.0,1268.0,667.0,11.8,58.0,0.8026,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.5,891.0,1.9,46.0,1387.0,53.0,1289.0,733.0,11.9,57.4,0.7978,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1.6,1173.0,7.5,160.0,1038.0,84.0,1556.0,1052.0,9.9,65.2,0.7956,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4.1,1587.0,21.4,320.0,702.0,108.0,1999.0,1534.0,11.1,60.2,0.7958,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
6.6,1658.0,27.799999999999997,377.0,553.0,127.0,2324.625,1931.0,14.1,50.0,0.802,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4.3,1522.0,21.3,280.0,703.0,134.0,2026.0,1734.0,17.7,40.1,0.8048,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2.9,1438.0,15.4,221.0,819.0,135.0,1782.0,1595.0,21.1,33.4,0.8265,11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
